City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,26.44,89,100,5.66,US,1691428136
1,echuca,-36.1333,144.75,6.09,90,0,2.71,AU,1691428137
2,waitangi,-43.9535,-176.5597,7.68,62,100,5.32,NZ,1691428137
3,margaret river,-33.95,115.0667,16.32,91,73,8.33,AU,1691428137
4,podporozh'ye,60.9112,34.1706,26.13,58,0,4.34,RU,1691428138
5,edinburgh of the seven seas,-37.0676,-12.3116,13.0,76,51,12.51,SH,1691428138
6,georgetown,5.4112,100.3354,28.96,79,20,0.51,MY,1691428138
7,tual,-5.6667,132.75,25.87,77,37,9.5,ID,1691428138
8,kodiak,57.79,-152.4072,12.73,94,100,4.63,US,1691428139
9,port-aux-francais,-49.35,70.2167,4.92,91,100,13.15,TF,1691428139
10,chonchi,-42.6128,-73.8092,12.56,63,95,1.37,CL,1691428139
11,invercargill,-46.4,168.35,3.9,89,100,0.45,NZ,1691428139
12,khandyga,62.6667,135.6,13.43,32,0,5.46,RU,1691428140
13,tiksi,71.6872,128.8694,5.62,69,27,0.98,RU,1691428140
14,iqaluit,63.7506,-68.5145,9.85,76,20,3.09,CA,1691427901
15,neryungri,56.6709,124.6491,16.28,67,96,1.31,RU,1691428140
16,yermakovskoye,53.2831,92.4003,18.21,77,100,1.19,RU,1691428141
17,sisimiut,66.9395,-53.6735,9.75,65,18,2.23,GL,1691428141
18,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,100,0,2.0,RU,1691428141
19,antofagasta,-23.65,-70.4,19.92,68,11,3.81,CL,1691428142
20,bethel,41.3712,-73.414,24.31,90,100,1.54,US,1691428142
21,west island,-12.1568,96.8225,25.99,83,40,6.69,CC,1691428143
22,puerto ayora,-0.7393,-90.3518,28.98,83,61,3.13,EC,1691428143
23,adamstown,-25.066,-130.1015,20.2,71,7,2.67,PN,1691428143
24,hithadhoo,-0.6,73.0833,27.98,74,61,2.59,MV,1691428144
25,fereydun kenar,36.6864,52.5225,28.29,70,67,1.73,IR,1691428144
26,port mathurin,-19.6833,63.4167,22.39,68,98,11.37,MU,1691428144
27,enewetak,11.3474,162.3373,26.67,85,98,7.3,MH,1691428145
28,puerto natales,-51.7236,-72.4875,2.08,67,100,0.86,CL,1691428145
29,yarmouth,41.7057,-70.2286,24.98,80,100,4.63,US,1691427999
30,udachny,66.4167,112.4,16.36,58,89,1.74,RU,1691428146
31,albany,42.6001,-73.9662,22.43,89,100,1.34,US,1691428073
32,ushuaia,-54.8,-68.3,1.81,69,0,1.54,AR,1691427952
33,albestii pamanteni,45.2167,24.6667,19.26,53,35,2.94,RO,1691428147
34,zhytkavichy,52.2168,27.8561,14.9,90,87,5.13,BY,1691428147
35,rovira,4.2392,-75.24,32.41,36,76,3.25,CO,1691428147
36,touros,-5.1989,-35.4608,27.96,68,44,8.22,BR,1691428063
37,mariental,-24.6333,17.9667,20.15,14,0,3.15,NA,1691428148
38,serowe,-22.3833,26.7167,16.61,26,5,1.79,BW,1691428148
39,aykhal,66.0,111.5,15.5,46,100,1.9,RU,1691428133
40,grytviken,-54.2811,-36.5092,-4.5,84,98,4.9,GS,1691428149
41,bredasdorp,-34.5322,20.0403,11.67,85,0,1.53,ZA,1691428149
42,lompoc,34.6391,-120.4579,27.61,56,0,1.57,US,1691428150
43,anadyr,64.75,177.4833,10.28,93,75,5.0,RU,1691428151
44,ulladulla,-35.35,150.4667,9.07,85,19,2.31,AU,1691428152
45,tanumah,27.1,44.1333,35.44,8,0,5.42,SA,1691428152
46,golden valley,45.0097,-93.3491,26.92,64,40,5.14,US,1691428152
47,port elizabeth,-33.918,25.5701,17.28,87,0,5.26,ZA,1691428015
48,palikir - national government center,6.9248,158.1611,24.41,100,100,1.54,FM,1691428153
49,salcea,47.65,26.3667,22.51,52,0,5.14,RO,1691428153
50,st. john's,47.5649,-52.7093,16.27,94,100,8.23,CA,1691428153
51,warren,39.4334,-84.1666,24.48,87,40,5.14,US,1691428091
52,vadso,70.0744,29.7487,21.49,77,0,3.09,NO,1691428154
53,acarau,-2.8856,-40.12,31.51,52,20,10.27,BR,1691428154
54,kununurra,-15.7667,128.7333,16.99,55,18,2.06,AU,1691428155
55,harstad,68.799,16.5293,14.89,100,100,4.92,NO,1691428155
56,avarua,-21.2078,-159.775,21.03,83,40,1.54,CK,1691428155
57,les anglais,18.3054,-74.2197,31.99,64,7,4.33,HT,1691428156
58,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,6.69,EC,1691428156
59,ilulissat,69.2167,-51.1,11.01,46,20,2.06,GL,1691428156
60,totness,5.8833,-56.3167,31.75,57,44,4.13,SR,1691428157
61,blackmans bay,-43.0167,147.3167,7.51,91,40,1.85,AU,1691428157
62,alibag,18.6411,72.8792,28.04,82,100,5.03,IN,1691427376
63,thompson,55.7435,-97.8558,16.52,63,67,2.91,CA,1691428158
64,northam,51.0333,-4.2167,17.44,74,100,5.69,GB,1691428158
65,senillosa,-39.0,-68.4167,13.88,31,67,8.85,AR,1691428158
66,arraial do cabo,-22.9661,-42.0278,28.92,48,0,6.69,BR,1691428158
67,nueva palestina,15.8,-92.75,29.1,57,23,2.06,MX,1691428159
68,san jose del cabo,23.0589,-109.6977,34.77,63,40,4.12,MX,1691428159
69,shortandy,51.7006,70.9994,18.57,45,16,4.01,KZ,1691428159
70,shingu,33.7333,135.9833,26.72,93,96,5.13,JP,1691428160
71,reyes,-14.3167,-67.3833,35.69,30,0,2.12,BO,1691428160
72,fort bragg,35.139,-79.006,31.78,67,15,1.79,US,1691427896
73,stanley,54.868,-1.6985,17.06,67,20,8.23,GB,1691428161
74,alice springs,-23.7,133.8833,6.75,76,2,0.0,AU,1691428015
75,cadereyta,25.5833,-99.9833,31.82,35,0,3.26,MX,1691428162
76,baturite,-4.3286,-38.8847,35.71,25,46,5.04,BR,1691428162
77,el calafate,-50.3408,-72.2768,0.32,56,100,0.18,AR,1691428162
78,qaqortoq,60.7167,-46.0333,6.98,79,29,2.13,GL,1691428163
79,coban,15.4833,-90.3667,25.69,54,73,1.9,GT,1691428163
80,hawaiian paradise park,19.5933,-154.9731,26.05,96,20,2.06,US,1691428169
81,yellowknife,62.456,-114.3525,17.25,40,6,4.48,CA,1691428170
82,lumphat,13.4878,106.9816,23.49,95,6,0.91,KH,1691428173
83,veinticinco de mayo,-35.4323,-60.1727,12.77,42,0,2.24,AR,1691428174
84,xocotla,19.0333,-97.1,23.26,44,0,2.67,MX,1691428176
85,mizdah,31.4451,12.9801,33.97,23,0,4.95,LY,1691428177
86,loukhi,66.0764,33.0381,15.45,69,85,4.54,RU,1691428177
87,camacupa,-12.0167,17.4833,21.53,23,0,0.64,AO,1691428178
88,papatowai,-46.5619,169.4708,4.83,89,100,5.26,NZ,1691428178
89,fort st. john,56.2499,-120.8529,18.64,60,92,2.13,CA,1691428178
90,yeppoon,-23.1333,150.7333,15.88,88,2,5.43,AU,1691428179
91,aasiaat,68.7098,-52.8699,3.79,69,23,3.57,GL,1691428179
92,jianshui,23.6363,102.8264,19.99,95,99,1.06,CN,1691428179
93,fortuna,40.5982,-124.1573,19.64,92,100,4.12,US,1691428180
94,hamilton,39.1834,-84.5333,25.61,92,100,7.2,US,1691427962
95,inderbor,48.55,51.7833,30.72,24,0,3.83,KZ,1691428180
96,beyneu,45.3167,55.2,31.99,21,0,4.64,KZ,1691428180
97,punta arenas,-53.15,-70.9167,2.94,75,100,3.25,CL,1691428181
98,al kharijah,25.4514,30.5464,38.63,8,4,3.65,EG,1691428181
99,alaghsas,17.0187,8.0168,33.31,36,56,7.16,NE,1691428181
100,westport,41.1415,-73.3579,27.32,89,100,4.12,US,1691428182
101,la'ie,21.6477,-157.9253,26.98,85,31,6.32,US,1691428182
102,wanning,18.8003,110.3967,27.33,81,4,4.46,CN,1691428183
103,mamuju,-2.6748,118.8885,25.37,86,27,1.89,ID,1691428183
104,esquel,-42.9,-71.3167,8.51,54,75,1.87,AR,1691428037
105,brookings,44.3114,-96.7984,24.47,64,0,4.63,US,1691428184
106,havana,23.133,-82.383,32.13,66,3,5.03,CU,1691427612
107,oriximina,-1.7656,-55.8661,36.85,32,81,3.39,BR,1691428097
108,talnakh,69.4865,88.3972,17.34,53,28,1.77,RU,1691428185
109,araxa,-19.5933,-46.9406,29.09,17,0,1.38,BR,1691428185
110,tazovsky,67.4667,78.7,15.56,63,0,2.48,RU,1691428185
111,green river,41.5286,-109.4662,21.66,48,4,0.89,US,1691428023
112,okhotsk,59.3833,143.3,9.97,90,100,0.57,RU,1691428186
113,fale old settlement,-9.3852,-171.2468,27.85,69,17,6.01,TK,1691428186
114,hasaki,35.7333,140.8333,27.95,90,88,3.26,JP,1691428186
115,happy valley-goose bay,53.3168,-60.3315,16.02,69,99,2.15,CA,1691428187
116,ta`u,-14.2336,-169.5144,26.49,78,63,2.98,AS,1691428187
117,fada n'gourma,12.0622,0.3578,23.83,89,100,2.33,BF,1691428187
118,carnarvon,-24.8667,113.6333,20.56,78,18,2.92,AU,1691428187
119,isafjordur,66.0755,-23.124,13.2,58,28,1.97,IS,1691428188
120,laguna,38.421,-121.4238,34.06,44,0,3.09,US,1691428188
121,tome acu,-2.4189,-48.1522,35.6,35,77,2.17,BR,1691428188
122,erbil,36.1926,44.0106,36.9,14,0,3.09,IQ,1691428127
123,whitehorse,60.7161,-135.0538,18.23,60,71,0.89,CA,1691428189
124,constantia,44.1833,28.65,28.38,58,2,5.7,RO,1691428189
125,saida,34.8303,0.1517,36.69,11,0,6.08,DZ,1691428189
126,gaigeturi,33.4644,126.3183,28.22,86,10,8.38,KR,1691428190
127,enoch,37.7733,-113.0244,29.14,17,0,7.2,US,1691428190
128,bilibino,68.0546,166.4372,1.07,91,100,2.07,RU,1691428190
129,nova vicosa,-17.8919,-39.3719,24.8,70,79,5.04,BR,1691428190
130,luderitz,-26.6481,15.1594,17.07,67,1,5.06,NA,1691428191
131,huruta,8.15,39.35,16.52,79,51,1.93,ET,1691428191
132,ancud,-41.8697,-73.8203,10.48,66,98,2.49,CL,1691428191
133,dothan,31.2232,-85.3905,34.55,65,40,5.14,US,1691428112
134,mejit,10.2753,170.8646,28.27,76,99,7.86,MH,1691428192
135,namibe,-15.1961,12.1522,18.64,81,7,2.34,AO,1691428192
136,college,64.8569,-147.8028,22.34,71,75,1.54,US,1691428193
137,nacozari viejo,30.4,-109.65,26.25,55,74,1.41,MX,1691428193
138,buala,-8.145,159.5921,25.53,86,91,2.68,SB,1691428193
139,nadym,65.5333,72.5167,18.93,61,8,4.93,RU,1691428194
140,kolonia town,6.964,158.206,25.0,100,100,1.54,FM,1691428194
141,broome,42.2506,-75.833,25.56,86,100,5.66,US,1691428194
142,tsengel,49.4783,100.8894,15.34,79,22,0.85,MN,1691428194
143,rio grande,-32.035,-52.0986,15.06,67,87,8.31,BR,1691428195
144,santarem,-2.4431,-54.7083,32.07,66,20,6.17,BR,1691428195
145,pryamitsyno,51.6561,35.9314,23.3,88,61,4.69,RU,1691428195
146,selebi-phikwe,-21.979,27.8498,17.54,28,8,2.65,BW,1691428195
147,nicoya,10.1483,-85.452,28.48,77,99,1.3,CR,1691428196
148,lorengau,-2.0226,147.2712,27.5,75,95,6.79,PG,1691428196
149,kristiansund,63.1115,7.732,12.03,93,75,3.09,NO,1691428197
150,polyarnyy,69.1989,33.4478,18.14,66,63,6.24,RU,1691428197
151,geraldton,-28.7667,114.6,17.23,88,100,5.66,AU,1691428197
152,ribeira grande,38.5167,-28.7,26.22,73,40,5.66,PT,1691428197
153,la passe,45.5549,-0.8967,25.13,54,55,5.83,FR,1691428198
154,leava,-14.3,-178.1667,26.78,78,91,0.73,WF,1691428198
155,egilsstadir,65.2653,-14.3948,12.13,65,100,1.77,IS,1691428198
156,wau,7.7029,27.9953,25.57,69,77,1.39,SS,1691428199
157,pekanbaru,0.5333,101.45,27.18,83,20,2.06,ID,1691428199
158,atafu village,-8.5421,-172.5159,28.16,72,24,6.05,TK,1691428199
159,yamada,39.4667,141.95,24.49,98,100,3.33,JP,1691428199
160,aldinga beach,-35.2793,138.4604,10.37,86,47,2.98,AU,1691428200
161,aripuana,-9.1667,-60.6333,39.44,21,30,1.12,BR,1691428201
162,manokwari,-0.8667,134.0833,25.31,79,61,1.82,ID,1691428149
163,xuddur,4.1213,43.8894,25.45,60,97,8.33,SO,1691428201
164,nadi,-17.8,177.4167,20.0,88,40,3.09,FJ,1691428202
165,independence,39.0911,-94.4155,24.97,73,100,2.57,US,1691428084
166,klaksvik,62.2266,-6.589,11.51,81,98,4.27,FO,1691428203
167,vilyuchinsk,52.9306,158.4028,10.14,85,64,4.5,RU,1691427975
168,klyuchi,52.2667,79.1667,19.83,39,0,2.25,RU,1691428204
169,kavaratti,10.5669,72.642,28.05,78,82,8.41,IN,1691428205
170,longyearbyen,78.2186,15.6401,8.91,87,75,2.06,SJ,1691428205
171,kapa'a,22.0752,-159.319,27.18,88,100,5.66,US,1691428205
172,saldanha,-33.0117,17.9442,13.93,84,0,4.39,ZA,1691428206
173,castillos,-34.1667,-53.8333,12.0,56,5,6.45,UY,1691428207
174,saudarkrokur,65.7461,-19.6394,11.41,76,60,2.46,IS,1691428207
175,saint-philippe,-21.3585,55.7679,19.77,82,98,6.97,RE,1691428207
176,walvis bay,-22.9575,14.5053,17.83,41,0,7.87,NA,1691428208
177,bandar abbas,27.1865,56.2808,34.99,75,20,4.12,IR,1691428208
178,metlili chaamba,32.2667,3.6333,38.34,12,0,3.94,DZ,1691428208
179,twon-brass,4.3151,6.2418,25.99,75,45,5.58,NG,1691428209
180,east london,-33.0153,27.9116,19.35,75,38,6.55,ZA,1691428209
181,spitak,40.8322,44.2673,25.8,70,5,0.53,AM,1691428210
182,trinity beach,-16.7888,145.6968,20.03,88,100,5.66,AU,1691428210
183,holualoa,19.6228,-155.9522,24.93,75,0,3.09,US,1691428211
184,hami,42.8,93.45,33.55,13,98,2.52,CN,1691428212
185,hermanus,-34.4187,19.2345,13.78,82,0,1.01,ZA,1691428213
186,salalah,17.0151,54.0924,26.05,94,100,3.6,OM,1691428214
187,saurimo,-9.6608,20.3916,24.52,24,36,0.98,AO,1691428214
188,el granada,37.5027,-122.4694,31.59,70,0,2.57,US,1691428215
189,millau,44.0833,2.9167,24.45,29,48,3.67,FR,1691428215
190,newcastle west,52.4492,-9.0611,17.62,67,93,1.94,IE,1691428215
191,mount isa,-20.7333,139.5,12.87,58,83,3.09,AU,1691428216
192,bridgetown,13.1,-59.6167,29.49,72,100,3.4,BB,1691428216
193,oranjemund,-28.55,16.4333,13.9,76,0,3.31,NA,1691428216
194,ad dawadimi,24.5077,44.3924,33.44,10,0,5.04,SA,1691428217
195,pandan,14.0453,124.1694,27.69,82,28,4.52,PH,1691428217
196,pisco,-13.7,-76.2167,21.03,68,100,3.09,PE,1691427919
197,weno,7.4515,151.8468,28.97,84,100,3.6,FM,1691428218
198,sirte,31.2089,16.5887,27.62,58,0,6.78,LY,1691428218
199,tsiombe,-25.3,45.4833,20.38,76,0,3.4,MG,1691428219
200,santa terezinha,-29.9002,-50.0904,15.85,92,98,5.24,BR,1691428219
201,kupang,-10.1667,123.5833,23.34,77,5,5.6,ID,1691428219
202,tamanrasset,22.785,5.5228,35.95,15,40,5.66,DZ,1691428220
203,ust-nera,64.5667,143.2,6.93,58,93,2.49,RU,1691428220
204,seybaplaya,19.65,-90.6667,31.7,53,4,0.81,MX,1691428220
205,ar ruseris,11.8659,34.3869,26.32,71,54,0.61,SD,1691428221
206,opuwo,-18.0607,13.84,21.95,17,0,3.37,NA,1691428221
207,pauini,-7.7136,-66.9764,37.67,28,17,2.15,BR,1691428221
208,goure,13.9835,10.2704,27.71,67,99,1.52,NE,1691428221
209,lebu,-37.6167,-73.65,12.87,66,100,1.97,CL,1691428222
210,alappuzha,9.49,76.3264,26.03,87,77,4.26,IN,1691428222
211,hadibu,12.65,54.0333,25.78,79,26,8.04,YE,1691428222
212,nouadhibou,20.931,-17.0347,24.99,65,0,6.69,MR,1691428223
213,loreto,22.2667,-101.9667,25.91,27,2,1.8,MX,1691428223
214,guadalupe y calvo,26.1,-106.9667,24.82,40,3,2.07,MX,1691428223
215,rudbar,30.15,62.6,34.82,14,0,7.28,AF,1691428223
216,kerikeri,-35.2268,173.9474,7.18,94,23,1.66,NZ,1691428224
217,biysk,52.5364,85.2072,16.28,59,18,1.67,RU,1691428163
218,palu,-0.8917,119.8707,24.21,95,62,1.34,ID,1691428224
219,ola,59.5833,151.2833,8.35,54,22,4.74,RU,1691428225
220,pacific grove,36.6177,-121.9166,23.45,90,0,3.13,US,1691428116
221,alvaraes,-3.2208,-64.8042,32.93,30,77,2.04,BR,1691428225
222,svetlyy,54.675,20.1347,16.09,75,100,9.4,RU,1691428225
223,sarykemer,43.0,71.5,20.71,47,99,6.31,KZ,1691428226
224,coronado,32.6859,-117.1831,33.26,74,20,3.09,US,1691427991
225,paragominas,-2.9667,-47.4833,34.91,35,74,1.97,BR,1691428231
226,haiku-pauwela,20.9219,-156.3051,25.58,83,20,8.23,US,1691428232
227,tazacorte,28.629,-17.9293,25.54,65,75,1.03,ES,1691428232
228,port lincoln,-34.7333,135.8667,10.85,77,2,4.09,AU,1691428233
229,katsuren-haebaru,26.3369,127.8719,27.01,92,100,10.77,JP,1691428233
230,mawu,29.5923,107.3139,24.63,91,91,1.7,CN,1691428233
231,banamba,13.55,-7.45,30.77,52,95,3.81,ML,1691428234
232,vuktyl,63.8567,57.3094,16.79,83,92,6.03,RU,1691428234
233,comodoro rivadavia,-45.8667,-67.5,10.92,43,0,4.63,AR,1691428203
234,mount pearl,47.5166,-52.7813,15.81,94,100,8.23,CA,1691428235
235,kilindoni,-7.9139,39.6668,24.42,80,3,6.49,TZ,1691428235
236,badger,64.8,-147.5333,22.3,72,75,1.54,US,1691428176
237,lagos,6.5833,3.75,25.86,79,52,3.41,NG,1691428235
238,oyama,36.3,139.8,30.33,83,100,1.45,JP,1691428236
239,new norfolk,-42.7826,147.0587,8.17,87,60,1.25,AU,1691428236
240,saipan,15.1355,145.701,27.39,100,40,0.45,MP,1691428183
241,atherton,53.5237,-2.4935,19.05,60,75,2.24,GB,1691428074
242,pampa del indio,-26.0647,-59.919,26.82,50,48,5.52,AR,1691428237
243,paidha,2.4167,30.9855,17.84,82,62,2.13,UG,1691428237
244,bukene,-4.2333,32.8833,24.5,30,13,2.4,TZ,1691428237
245,keflavik,64.0049,-22.5624,13.24,82,75,3.09,IS,1691428238
246,charters towers,-20.1,146.2667,12.93,82,1,2.78,AU,1691428238
247,frutal,-20.0247,-48.9406,33.39,17,47,2.19,BR,1691428238
248,novouzensk,50.4592,48.1431,27.03,37,0,2.75,RU,1691428154
249,nabire,-3.3667,135.4833,23.95,90,100,2.28,ID,1691428239
250,kingston,17.997,-76.7936,34.02,66,16,0.45,JM,1691428239
251,kidal,18.4411,1.4078,39.0,21,25,5.4,ML,1691428239
252,vila franca do campo,37.7167,-25.4333,23.23,58,91,1.96,PT,1691428240
253,kyren,51.6828,102.1408,15.12,95,64,0.74,RU,1691428240
254,balqash,46.8481,74.995,23.93,56,66,2.7,KZ,1691428240
255,taoudenni,22.6783,-3.9836,46.54,9,1,5.62,ML,1691428240
256,ambovombe,-25.1667,46.0833,20.53,71,8,4.32,MG,1691428241
257,yurty,56.0498,97.6348,13.36,96,21,1.74,RU,1691428241
258,fort drum,44.0584,-75.7619,26.21,75,100,5.11,US,1691428241
259,callao,-12.0667,-77.15,24.84,64,100,4.12,PE,1691428242
260,skikda,36.8762,6.9092,24.36,61,0,3.4,DZ,1691427789
261,nova sintra,14.8667,-24.7167,22.45,78,88,6.29,CV,1691428242
262,prado,-17.3411,-39.2208,24.62,72,85,4.29,BR,1691428242
263,parakou,9.3372,2.6303,23.03,94,97,1.53,BJ,1691428243
264,altai,46.3722,96.2583,17.44,37,42,1.43,MN,1691428243
265,puerto aysen,-45.4,-72.7,8.21,85,100,0.98,CL,1691428243
266,tura,25.5198,90.2201,24.18,97,100,2.06,IN,1691428243
267,can tho,10.0333,105.7833,25.99,100,20,1.03,VN,1691428244
268,jian'ou,27.0469,118.3253,26.04,92,91,0.79,CN,1691428244
269,balsas,-7.5325,-46.0356,37.58,20,31,2.84,BR,1691428244
270,port alfred,-33.5906,26.891,16.77,91,4,0.45,ZA,1691428245
271,urzhar,47.093,81.6294,20.29,72,84,1.94,KZ,1691428245
272,katsuura,35.1333,140.3,26.32,90,67,3.66,JP,1691428245
273,vallenar,-28.5708,-70.7581,24.77,22,52,3.05,CL,1691428245
274,escanaba,45.7453,-87.0646,27.2,50,0,1.54,US,1691428246
275,gejiu,23.306,103.1635,15.26,95,100,0.51,CN,1691428246
276,bikenibeu village,1.3673,173.1241,28.65,74,76,4.22,KI,1691428246
